sep=,
"Time","I38 - BOYA","I39 - BOYA","I40 - BOYA","I41 - BOYA","I42 - BOYA","I43 - BOYA","I44 - BOYA","I46 - BOYA","I47 - BOYA","I48 - BOYA"
2026-06-26 21:00:00,4.16,Full,,LLeno,LLeno,LLeno,5.58,,,
2026-06-26 23:00:00,4.55,6.99,Full,LLeno,LLeno,LLeno,Medio +,,Full,
2026-06-27 01:00:00,6.98,Full,,5.37,5.11,5.94,4.29,,Full,
2026-06-27 03:00:00,6.51,,,5.35,3.29,5.27,Medio +,,Full,
2026-06-27 05:00:00,5.97,,,Medio +,4.33,Medio +,Medio +,,Full,
2026-06-27 07:00:00,LLeno,,,Medio +,4.96,Medio +,Medio +,,Full,
2026-06-27 09:00:00,LLeno,,,Medio +,4.89,Medio +,Medio +,,Full,
2026-06-27 11:00:00,LLeno,,,4.65,5.30,Medio +,4.83,,Full,
2026-06-27 13:00:00,LLeno,,Full,4.42,6.40,Medio +,3.46,,Full,
2026-06-27 15:00:00,5.90,,Full,6.10,LLeno,6.40,6.08,,Full,
2026-06-27 17:00:00,4.11,,Full,LLeno,LLeno,6.00,LLeno,,Full,
2026-06-27 19:00:00,Medio -,,6.89,LLeno,LLeno,LLeno,LLeno,,Full,
2026-06-27 21:00:00,2.99,,Full,LLeno,LLeno,LLeno,LLeno,,Full,
2026-06-27 23:00:00,2.99,,Full,5.58,5.44,5.85,5.53,,Full,
2026-06-28 01:00:00,5.98,,6.98,5.07,4.91,Medio +,Medio +,,Full,
2026-06-28 03:00:00,LLeno,,Full,5.15,4.78,Medio +,Medio +,,Full,
2026-06-28 05:00:00,5.96,,Full,Medio +,4.97,Medio +,Medio +,,Full,
2026-06-28 07:00:00,LLeno,,Full,4.88,Medio +,Medio +,Medio +,,Full,
2026-06-28 09:00:00,5.96,,6.95,4.98,Medio +,Medio +,Medio +,,Full,
2026-06-28 11:00:00,LLeno,,Full,,3.75,5.41,Medio +,,6.98,
2026-06-28 13:00:00,4.03,,6.99,5.49,2.40,6.71,4.14,,Full,
2026-06-28 15:00:00,3.04,,6.94,6.39,5.36,6.00,3.34,,Full,
2026-06-28 17:00:00,2.99,,6.13,6.00,LLeno,LLeno,6.09,,Full,
2026-06-28 19:00:00,Medio -,,6.09,LLeno,LLeno,LLeno,LLeno,,Full,
2026-06-28 21:00:00,Medio -,,6.01,LLeno,LLeno,5.94,LLeno,,Full,
2026-06-28 23:00:00,Medio -,,5.56,5.84,LLeno,Medio +,LLeno,,Full,
2026-06-29 01:00:00,3.80,,5.25,5.34,5.97,Medio +,5.10,,Full,
2026-06-29 03:00:00,6.80,,5.38,5.21,4.34,Medio +,4.95,,Full,
2026-06-29 05:00:00,5.98,,4.56,5.43,4.99,Medio +,Medio +,,Full,
2026-06-29 07:00:00,5.98,,6.96,LLeno,4.82,Medio +,4.97,,Full,
2026-06-29 09:00:00,LLeno,,Full,6.48,3.66,4.80,6.01,,Full,
2026-06-29 11:00:00,LLeno,,Full,6.28,3.54,3.62,6.00,,Full,
2026-06-29 13:00:00,LLeno,,Full,5.93,5.21,2.53,5.99,,Full,
2026-06-29 15:00:00,LLeno,,Full,LLeno,6.91,2.46,LLeno,,Full,
2026-06-29 17:00:00,2.91,,Full,LLeno,5.96,6.52,5.85,,Full,
2026-06-29 19:00:00,3.83,,Full,5.45,LLeno,LLeno,Medio +,,Full,
2026-06-29 21:00:00,3.61,,Full,5.53,LLeno,LLeno,Medio +,,Full,
2026-06-29 23:00:00,3.80,,Full,5.74,LLeno,LLeno,4.93,,Full,
2026-06-30 01:00:00,5.82,,Full,5.90,5.10,5.71,Medio +,,Full,
2026-06-30 03:00:00,LLeno,,Full,LLeno,2.86,5.14,4.91,,Full,
2026-06-30 05:00:00,5.98,,6.92,5.09,2.04,Medio +,Medio +,,Full,
2026-06-30 07:00:00,LLeno,,6.98,3.11,0.928,Medio +,Medio +,,Full,
2026-06-30 09:00:00,LLeno,,Full,3.06,1.82,Medio +,Medio +,,Full,
2026-06-30 11:00:00,5.22,,Full,6.51,4.05,5.13,4.13,,Full,
2026-06-30 13:00:00,4.10,,6.85,6.00,5.26,6.27,5.80,,Full,
2026-06-30 15:00:00,4.12,,6.99,LLeno,6.23,LLeno,6.51,,Full,
2026-06-30 17:00:00,4.00,,Full,LLeno,LLeno,LLeno,LLeno,,Full,
2026-06-30 19:00:00,3.07,,Full,5.55,LLeno,LLeno,LLeno,,Full,
