sep=,
"Time","I38 - BOYA","I39 - BOYA","I40 - BOYA","I41 - BOYA","I42 - BOYA","I43 - BOYA","I44 - BOYA","I48 - BOYA"
2026-09-09 10:47:00,,Medio +,,Medio +,,Medio +,Medio +,Medio +
2026-09-09 10:47:20,,Medio +,,Medio +,,Medio +,Medio +,Medio +
2026-09-09 10:47:40,,Medio +,,Medio +,Medio +,Medio +,Medio +,Medio +
2026-09-09 10:48:00,,Medio +,,,,Medio +,Medio +,
2026-09-09 10:48:20,,Medio +,,,,Medio +,Medio +,
2026-09-09 10:48:40,,Medio +,,Medio +,,Medio +,Medio +,Medio +
2026-09-09 10:49:00,,Medio +,,,,Medio +,Medio +,
2026-09-09 10:49:20,,Medio +,,,,Medio +,Medio +,
2026-09-09 10:49:40,,Medio +,,Medio +,,Medio +,Medio +,
2026-09-09 10:50:00,,Medio +,,Medio +,,Medio +,Medio +,Medio +
2026-09-09 10:50:20,,Medio +,,Medio +,,Medio +,Medio +,Medio +
2026-09-09 10:50:40,,Medio +,,Medio +,Medio +,Medio +,Medio +,Medio +
2026-09-09 10:51:00,,Medio +,,Medio +,,Medio +,Medio +,Medio +
2026-09-09 10:51:20,,Medio +,,Medio +,,Medio +,Medio +,Medio +
2026-09-09 10:51:40,Full,Medio +,,Medio +,,Medio +,Medio +,Medio +
2026-09-09 10:52:00,Full,Medio +,,Medio +,,Medio +,Medio +,Medio +
2026-09-09 10:52:20,Full,Medio +,,Medio +,,Medio +,Medio +,Medio +
2026-09-09 10:52:40,Full,Medio +,,Medio +,,Medio +,Medio +,Medio +
2026-09-09 10:53:00,Full,,,Medio +,,Medio +,Medio +,Medio +
2026-09-09 10:53:20,1.75,,,,,Medio +,Medio +,
2026-09-09 10:53:40,Full,Medio +,,,Medio +,Medio +,Medio +,
2026-09-09 10:54:00,Full,Medio +,,Medio +,,Medio +,Medio +,Medio +
2026-09-09 10:54:20,Full,Medio +,,,,Medio +,Medio +,
2026-09-09 10:54:40,Full,Medio +,,,,Medio +,Medio +,
2026-09-09 10:55:00,Full,Medio +,,Medio +,,Medio +,Medio +,Medio +
2026-09-09 10:55:20,Full,Medio +,,Medio +,,Medio +,Medio +,Medio +
2026-09-09 10:55:40,Full,Medio +,,Medio +,,Medio +,Medio +,Medio +
2026-09-09 10:56:00,Full,Medio +,,Medio +,,Medio +,Medio +,Medio +
2026-09-09 10:56:20,Full,Medio +,,,Medio +,Medio +,Medio +,
2026-09-09 10:56:40,,Medio +,,,,Medio ,Medio +,
2026-09-09 10:57:00,,Medio +,,Medio +,,Medio ,Medio +,Medio +
2026-09-09 10:57:20,,Medio +,,,,Medio ,Medio +,
2026-09-09 10:57:40,,Medio +,,,,Medio ,Medio +,
2026-09-09 10:58:00,,Medio +,,Medio +,,Medio ,Medio +,Medio +
2026-09-09 10:58:20,,Medio +,,Medio +,,Medio ,Medio +,Medio +
2026-09-09 10:58:40,,Medio +,,Medio +,,Medio ,Medio +,Medio +
2026-09-09 10:59:00,,Medio +,,Medio +,,Medio ,Medio +,Medio +
2026-09-09 10:59:20,,Medio +,,Medio +,Medio +,Medio ,Medio +,Medio +
2026-09-09 10:59:40,,Medio +,,Medio +,,Medio ,Medio +,Medio +
2026-09-09 11:00:00,,Medio +,,,,Medio ,Medio +,
2026-09-09 11:00:20,,Medio +,,,,Medio ,Medio +,
2026-09-09 11:00:40,,Medio +,,Medio +,,Medio ,Medio +,Medio +
2026-09-09 11:01:00,,Medio +,,,,Medio ,Medio +,
2026-09-09 11:01:20,,Medio +,,,,Medio ,Medio +,
2026-09-09 11:01:40,,Medio +,,Medio +,,Medio ,Medio +,Medio +
2026-09-09 11:02:00,,Medio +,,Medio +,,Medio ,Medio +,Medio +
2026-09-09 11:02:20,,Medio +,,Medio +,Medio +,Medio ,Medio +,Medio +
2026-09-09 11:02:40,,Medio +,,Medio +,,Medio ,Medio +,Medio +
2026-09-09 11:03:00,,Medio +,,Medio +,,Medio ,Medio +,Medio +
2026-09-09 11:03:20,,Medio +,,Medio +,,Medio ,Medio +,Medio +
2026-09-09 11:03:40,,Medio +,,Medio +,,Medio ,Medio +,Medio +
2026-09-09 11:04:00,,Medio +,,Medio +,,Medio ,Medio +,Medio +
2026-09-09 11:04:20,,Medio +,,Medio +,,Medio ,Medio +,Medio +
2026-09-09 11:04:40,,Medio +,,Medio +,,Medio ,Medio +,Medio +
2026-09-09 11:05:00,,Medio +,,Medio +,,Medio ,Medio +,Medio +
2026-09-09 11:05:20,,Medio +,,Medio +,Medio +,Medio ,Medio +,Medio +
2026-09-09 11:05:40,,Medio +,,Medio +,,Medio ,Medio +,Medio +
2026-09-09 11:06:00,,Medio +,,Medio +,,Medio ,Medio +,Medio +
2026-09-09 11:06:20,,Medio +,,Medio +,,Medio ,Medio +,Medio +
