"Time","P_FW - I38","P_FW - I39","P_FW - I40","P_FW - I41","P_FW - I42","P_FW - I43","P_FW - I44","P_FW - I47","P_FW - I48","%FW - I38","%FW - I39","%FW - I40","%FW - I41","%FW - I42","%FW - I43","%FW - I44","%FW - I47","%FW - I48"
2026-06-24 11:00:00,0.111 Mpa,,0.221 Mpa,0.239 Mpa,0.465 Mpa,0.125 Mpa,0.455 Mpa,0.261 Mpa,,6.40%,,5.33%,4.04%,13.9%,1.03%,15.1%,26.6%,
2026-06-24 13:00:00,0.120 Mpa,,0.117 Mpa,0.170 Mpa,0.0397 Mpa,0.612 Mpa,,0.233 Mpa,,3.58%,,2.64%,2.19%,1.36%,14.5%,,4.29%,
2026-06-24 15:00:00,0.138 Mpa,0.421 Mpa,0.424 Mpa,0.119 Mpa,0.0240 Mpa,0.179 Mpa,,0.367 Mpa,,5.09%,0%,12.1%,1.49%,0.979%,1.07%,,8.79%,
2026-06-24 17:00:00,0.101 Mpa,0.442 Mpa,0.493 Mpa,0.166 Mpa,0.262 Mpa,0.358 Mpa,,0.793 Mpa,,2.93%,0%,12.1%,3.15%,8.34%,6.57%,,19.7%,
2026-06-24 19:00:00,0.131 Mpa,,0.339 Mpa,1.07 Mpa,0.365 Mpa,0.403 Mpa,,0.545 Mpa,,3.68%,,11.1%,24.5%,10.4%,7.13%,,14.1%,
2026-06-24 21:00:00,0.0951 Mpa,0.450 Mpa,0.209 Mpa,0.342 Mpa,0.0867 Mpa,0.326 Mpa,,0.757 Mpa,,5.15%,0.456%,4.61%,6.47%,2.86%,4.98%,,20.9%,
2026-06-24 23:00:00,0.0483 Mpa,0.462 Mpa,0.553 Mpa,0.207 Mpa,0.176 Mpa,0.242 Mpa,,0.841 Mpa,,3.36%,3.65%,14.7%,2.74%,5.08%,14.4%,,23.4%,
2026-06-25 01:00:00,0.363 Mpa,,0.426 Mpa,0.265 Mpa,0.0903 Mpa,0.320 Mpa,,0.133 Mpa,,11.9%,,11.7%,6.55%,3.68%,4.88%,,20.9%,
2026-06-25 03:00:00,0.894 Mpa,0.433 Mpa,0.200 Mpa,0.695 Mpa,1.86 Mpa,0.231 Mpa,,0.373 Mpa,,23.2%,1.96%,4.78%,16.8%,59.5%,4.71%,,13.8%,
2026-06-25 05:00:00,0.0917 Mpa,,0.950 Mpa,0.295 Mpa,0.936 Mpa,0.388 Mpa,,0.192 Mpa,,16.6%,,25.2%,5.49%,27.4%,5.82%,,3.38%,
2026-06-25 07:00:00,0.215 Mpa,0.439 Mpa,0.232 Mpa,0.250 Mpa,0.692 Mpa,0.250 Mpa,,0.811 Mpa,,8.29%,27.7%,6.30%,4.08%,19.2%,2.44%,,20.3%,
2026-06-25 09:00:00,0.203 Mpa,,0.215 Mpa,0.320 Mpa,0.179 Mpa,0.317 Mpa,,0.216 Mpa,,8.71%,,5.47%,5.87%,5.62%,3.84%,,3.04%,
