"Time","P_FW - I38","P_FW - I39","P_FW - I40","P_FW - I41","P_FW - I42","P_FW - I43","P_FW - I44","P_FW - I47","P_FW - I48","%FW - I38","%FW - I39","%FW - I40","%FW - I41","%FW - I42","%FW - I43","%FW - I44","%FW - I47","%FW - I48"
2026-06-23 13:00:00,0.185 Mpa,,0.0905 Mpa,0.205 Mpa,0.0645 Mpa,,0.230 Mpa,0.174 Mpa,,5.30%,,7.46%,4.11%,2.98%,,5.05%,4.44%,
2026-06-23 15:00:00,1.11 Mpa,0.423 Mpa,0.209 Mpa,0.250 Mpa,0.456 Mpa,0.135 Mpa,0.274 Mpa,0.429 Mpa,,32.3%,14.3%,6.55%,4.86%,12.3%,0%,6.40%,9.18%,
2026-06-23 17:00:00,0.0939 Mpa,,0.264 Mpa,0.155 Mpa,0.0677 Mpa,,0.174 Mpa,0.444 Mpa,,3.18%,,5.07%,2.05%,1.62%,,4.99%,11.8%,
2026-06-23 19:00:00,0.0537 Mpa,,0.167 Mpa,0.148 Mpa,0.0613 Mpa,,0.0240 Mpa,0.283 Mpa,,2.43%,,2.06%,1.96%,1.23%,,20.0%,2.71%,
2026-06-23 21:00:00,0.121 Mpa,,0.334 Mpa,0.655 Mpa,0.0615 Mpa,,0.235 Mpa,0.324 Mpa,,4.64%,,6.75%,15.5%,1.85%,,6.30%,6.22%,
2026-06-23 23:00:00,0.0746 Mpa,0.424 Mpa,0.245 Mpa,0.368 Mpa,0.128 Mpa,0.137 Mpa,0.550 Mpa,0.585 Mpa,,3.04%,1.50%,4.57%,7.55%,3.16%,0.0592%,16.5%,12.3%,
2026-06-24 01:00:00,0.298 Mpa,0.431 Mpa,0.204 Mpa,0.633 Mpa,0.0425 Mpa,,0.805 Mpa,0.481 Mpa,,8.29%,0.226%,3.37%,14.9%,1.20%,,31.8%,10.3%,
2026-06-24 03:00:00,0.243 Mpa,,0.274 Mpa,0.528 Mpa,0.385 Mpa,,0.0313 Mpa,0.417 Mpa,,6.58%,,5.19%,12.3%,10.8%,,0.791%,9.48%,
2026-06-24 05:00:00,0.152 Mpa,,0.273 Mpa,0.519 Mpa,0.119 Mpa,,,0.306 Mpa,,3.43%,,5.49%,11.8%,4.36%,,,4.63%,
2026-06-24 07:00:00,0.176 Mpa,,0.370 Mpa,0.418 Mpa,0.278 Mpa,,,0.437 Mpa,,5.10%,,8.37%,8.79%,9.34%,,,12.6%,
2026-06-24 09:00:00,0.298 Mpa,,0.686 Mpa,0.584 Mpa,0.889 Mpa,,,0.290 Mpa,,10.4%,,17.7%,13.4%,26.5%,,,16.5%,
2026-06-24 11:00:00,0.0816 Mpa,,0.220 Mpa,0.258 Mpa,0.432 Mpa,0.123 Mpa,0.524 Mpa,0.298 Mpa,,6.05%,,4.01%,5.14%,12.0%,0%,17.0%,27.8%,
2026-06-24 13:00:00,0.100 Mpa,,0.123 Mpa,0.169 Mpa,0.0506 Mpa,0.601 Mpa,,0.274 Mpa,,4.03%,,1.13%,2.83%,1.06%,12.5%,,13.4%,
2026-06-24 15:00:00,0.118 Mpa,0.421 Mpa,0.465 Mpa,0.108 Mpa,0.0116 Mpa,0.186 Mpa,,0.363 Mpa,,5.53%,7.28%,11.1%,1.21%,0.759%,0.711%,,12.7%,
2026-06-24 17:00:00,0.0676 Mpa,0.441 Mpa,0.455 Mpa,0.165 Mpa,0.243 Mpa,0.365 Mpa,,0.800 Mpa,,3.18%,0.262%,9.98%,3.38%,6.40%,7.22%,,21.5%,
2026-06-24 19:00:00,0.106 Mpa,,0.342 Mpa,0.959 Mpa,0.379 Mpa,0.390 Mpa,,0.587 Mpa,,3.90%,,7.12%,23.3%,10.0%,11.2%,,21.8%,
2026-06-24 21:00:00,0.0648 Mpa,0.448 Mpa,0.212 Mpa,0.333 Mpa,0.0687 Mpa,0.314 Mpa,,0.779 Mpa,,4.58%,0.110%,3.32%,6.46%,1.61%,6.20%,,28.5%,
2026-06-24 23:00:00,0.0175 Mpa,0.461 Mpa,0.537 Mpa,0.197 Mpa,0.174 Mpa,0.266 Mpa,,0.868 Mpa,,2.86%,0.0130%,12.4%,2.59%,4.56%,13.5%,,27.6%,
2026-06-25 01:00:00,0.324 Mpa,,0.395 Mpa,0.272 Mpa,0.0656 Mpa,0.298 Mpa,,0.148 Mpa,,11.1%,,8.76%,6.61%,1.75%,20.1%,,23.9%,
2026-06-25 03:00:00,0.826 Mpa,0.430 Mpa,0.202 Mpa,0.687 Mpa,1.92 Mpa,0.246 Mpa,,0.397 Mpa,,22.2%,0.769%,6.05%,16.8%,57.2%,9.22%,,17.4%,
2026-06-25 05:00:00,0.0631 Mpa,,0.892 Mpa,0.283 Mpa,0.978 Mpa,0.371 Mpa,,0.207 Mpa,,16.2%,,22.1%,5.41%,27.5%,5.68%,,5.65%,
2026-06-25 07:00:00,0.200 Mpa,0.438 Mpa,0.232 Mpa,0.234 Mpa,0.724 Mpa,0.225 Mpa,,0.862 Mpa,,7.48%,28.3%,3.62%,4.32%,19.8%,1.74%,,22.3%,
2026-06-25 09:00:00,0.172 Mpa,,0.207 Mpa,0.306 Mpa,0.178 Mpa,0.329 Mpa,,0.241 Mpa,,8.29%,,3.54%,5.98%,5.25%,3.42%,,5.49%,
2026-06-25 11:00:00,0.231 Mpa,,0.174 Mpa,0.332 Mpa,0.0482 Mpa,0.278 Mpa,0.0803 Mpa,0.328 Mpa,,8.22%,,2.53%,7.27%,1.58%,2.87%,2.64%,7.11%,
2026-06-25 13:00:00,0.0336 Mpa,,0.173 Mpa,0.153 Mpa,0.0916 Mpa,0.540 Mpa,1.97 Mpa,0.298 Mpa,,4.27%,,2.62%,2.51%,3.48%,9.64%,61.7%,10.5%,
2026-06-25 15:00:00,0.124 Mpa,0.439 Mpa,0.199 Mpa,0.318 Mpa,0.0114 Mpa,0.306 Mpa,0.359 Mpa,0.266 Mpa,,6.02%,14.3%,3.15%,7.70%,0.362%,19.8%,6.50%,9.01%,
2026-06-25 17:00:00,0.193 Mpa,0.458 Mpa,0.119 Mpa,0.225 Mpa,0.0686 Mpa,0.260 Mpa,0.357 Mpa,0.297 Mpa,,7.66%,3.74%,1.26%,4.03%,2.89%,2.23%,6.57%,11.0%,
2026-06-25 19:00:00,0.155 Mpa,,0.289 Mpa,0.0479 Mpa,0.170 Mpa,0.319 Mpa,0.438 Mpa,0.232 Mpa,,6.82%,,5.73%,0.0846%,4.88%,3.65%,8.89%,16.1%,
2026-06-25 21:00:00,0.201 Mpa,,0.383 Mpa,0.285 Mpa,0.237 Mpa,0.289 Mpa,0.319 Mpa,0.247 Mpa,,7.58%,,8.66%,5.21%,6.91%,2.59%,4.24%,7.15%,
2026-06-25 23:00:00,0.284 Mpa,,0.0345 Mpa,0.324 Mpa,0.0698 Mpa,0.220 Mpa,0.334 Mpa,0.571 Mpa,,10.2%,,0%,6.48%,2.63%,0.687%,4.71%,18.9%,
2026-06-26 01:00:00,0.174 Mpa,0.466 Mpa,,0.298 Mpa,0.0160 Mpa,0.290 Mpa,0.197 Mpa,0.374 Mpa,,4.98%,3.48%,,6.25%,0.541%,2.46%,0.939%,5.76%,
2026-06-26 03:00:00,0.0643 Mpa,,0.0499 Mpa,0.206 Mpa,0.0410 Mpa,0.239 Mpa,0.223 Mpa,0.270 Mpa,,2.23%,,0.483%,3.32%,1.06%,1.57%,1.48%,7.39%,
2026-06-26 05:00:00,0.202 Mpa,,,0.153 Mpa,0.0769 Mpa,0.328 Mpa,0.490 Mpa,0.306 Mpa,,6.27%,,,2.03%,1.96%,3.57%,10.5%,6.24%,
2026-06-26 07:00:00,0.269 Mpa,,,0.162 Mpa,0.223 Mpa,0.281 Mpa,0.231 Mpa,0.292 Mpa,,8.64%,,,2.02%,6.53%,2.01%,3.06%,8.69%,
2026-06-26 09:00:00,0.0617 Mpa,,,0.329 Mpa,0.0855 Mpa,0.310 Mpa,0.217 Mpa,0.413 Mpa,,3.31%,,,7.01%,2.75%,3.22%,7.15%,10.1%,
2026-06-26 11:00:00,0.0377 Mpa,,,0.543 Mpa,0.0541 Mpa,0.414 Mpa,0.229 Mpa,0.388 Mpa,,2.27%,,,12.5%,1.62%,5.89%,6.36%,8.75%,
2026-06-26 13:00:00,0.105 Mpa,0.456 Mpa,,0.467 Mpa,0.0391 Mpa,0.942 Mpa,0.640 Mpa,0.285 Mpa,,6.02%,13.2%,,10.5%,1.09%,20.0%,15.3%,4.18%,
2026-06-26 15:00:00,0.0639 Mpa,0.0163 Mpa,,0.236 Mpa,0.183 Mpa,0.858 Mpa,0.327 Mpa,0.467 Mpa,,4.17%,8.84%,,4.40%,5.55%,18.6%,5.31%,13.3%,
2026-06-26 17:00:00,0.0588 Mpa,0.00843 Mpa,,0.291 Mpa,0.132 Mpa,0.656 Mpa,0.352 Mpa,0.357 Mpa,,3.27%,4.63%,,6.12%,3.70%,12.5%,6.02%,16.5%,
2026-06-26 19:00:00,0.165 Mpa,0.0963 Mpa,,0.139 Mpa,0.0653 Mpa,0.219 Mpa,0.233 Mpa,0.325 Mpa,,5.68%,4.54%,,2.41%,2.24%,0.669%,2.51%,10.2%,
2026-06-26 21:00:00,0.0983 Mpa,0.0165 Mpa,,0.291 Mpa,0.0560 Mpa,0.853 Mpa,0.204 Mpa,,,3.19%,5.49%,,5.43%,1.25%,17.8%,1.40%,,
