"Time","P_BW - I38","P_BW - I39","P_BW - I40","P_BW - I41","P_BW - I42","P_BW - I43","P_BW - I44","P_BW - I47","P_BW - I48","%BW - I38","%BW - I39","%BW - I40","%BW - I41","%BW - I42","%BW - I43","%BW - I44","%BW - I47","%BW - I48"
2026-06-24 13:00:00,0.142 Mpa,,0.150 Mpa,0.165 Mpa,0.103 Mpa,0.159 Mpa,,0.266 Mpa,,4.88%,,2.80%,2.07%,2.81%,0.275%,,2.48%,
2026-06-24 15:00:00,0.180 Mpa,0.420 Mpa,0.162 Mpa,0.206 Mpa,0.168 Mpa,0.233 Mpa,,0.262 Mpa,,4.95%,9.20%,2.70%,3.29%,5.79%,3.14%,,2.06%,
2026-06-24 17:00:00,0.119 Mpa,0.440 Mpa,0.377 Mpa,0.270 Mpa,0.00704 Mpa,0.339 Mpa,,0.307 Mpa,,3.99%,12.4%,7.56%,5.20%,0.0355%,5.81%,,4.14%,
2026-06-24 19:00:00,0.0841 Mpa,,0.262 Mpa,0.336 Mpa,0.154 Mpa,0.341 Mpa,,0.337 Mpa,,3.02%,,4.91%,5.71%,4.04%,6.65%,,5.85%,
2026-06-24 21:00:00,0.116 Mpa,0.448 Mpa,0.222 Mpa,0.239 Mpa,0.0569 Mpa,0.308 Mpa,,0.325 Mpa,,3.14%,9.69%,3.78%,3.33%,0.940%,5.58%,,6.28%,
2026-06-24 23:00:00,0.0903 Mpa,0.461 Mpa,0.235 Mpa,0.216 Mpa,0.0982 Mpa,0.337 Mpa,,0.258 Mpa,,3.08%,0%,3.87%,2.35%,2.08%,5.87%,,3.98%,
2026-06-25 01:00:00,0.122 Mpa,,0.186 Mpa,0.240 Mpa,0.0758 Mpa,0.278 Mpa,,0.142 Mpa,,3.19%,,2.89%,3.93%,1.37%,4.92%,,0.270%,
2026-06-25 03:00:00,0.150 Mpa,0.430 Mpa,0.121 Mpa,0.312 Mpa,0.0704 Mpa,0.269 Mpa,,0.673 Mpa,,4.57%,15.3%,1.52%,6.26%,1.58%,4.24%,,15.7%,
2026-06-25 05:00:00,0.141 Mpa,,0.370 Mpa,0.316 Mpa,0.0205 Mpa,0.359 Mpa,,0.179 Mpa,,4.71%,,7.83%,5.87%,0.428%,7.11%,,1.53%,
2026-06-25 07:00:00,0.124 Mpa,0.438 Mpa,0.314 Mpa,0.286 Mpa,0.176 Mpa,0.378 Mpa,,0.269 Mpa,,3.35%,23.9%,5.96%,4.83%,4.71%,7.56%,,4.93%,
2026-06-25 09:00:00,0.181 Mpa,,0.201 Mpa,0.209 Mpa,0.163 Mpa,0.288 Mpa,,0.200 Mpa,,6.28%,,3.51%,2.84%,4.41%,3.61%,,2.54%,
2026-06-25 11:00:00,0.251 Mpa,,0.176 Mpa,0.201 Mpa,0.0628 Mpa,0.331 Mpa,0.101 Mpa,0.323 Mpa,,7.20%,,2.73%,2.68%,1.64%,5.10%,3.52%,5.88%,
2026-06-25 13:00:00,0.0661 Mpa,,0.194 Mpa,0.177 Mpa,0.120 Mpa,0.631 Mpa,0.194 Mpa,0.289 Mpa,,1.95%,,2.97%,2.02%,2.89%,12.7%,2.55%,3.75%,
2026-06-25 15:00:00,0.101 Mpa,0.438 Mpa,0.194 Mpa,0.362 Mpa,0.0388 Mpa,0.175 Mpa,0.228 Mpa,0.189 Mpa,,3.87%,0.384%,2.95%,8.02%,0.386%,0.138%,2.25%,2.45%,
2026-06-25 17:00:00,0.136 Mpa,0.458 Mpa,0.142 Mpa,0.300 Mpa,0.0923 Mpa,0.336 Mpa,0.208 Mpa,0.268 Mpa,,4.09%,15.5%,2.15%,4.90%,2.06%,5.23%,6.51%,3.55%,
2026-06-25 19:00:00,0.293 Mpa,,0.186 Mpa,0.0767 Mpa,0.192 Mpa,0.385 Mpa,0.230 Mpa,0.268 Mpa,,7.84%,,3.16%,0.457%,5.24%,4.84%,5.62%,2.76%,
2026-06-25 21:00:00,0.194 Mpa,,0.129 Mpa,0.207 Mpa,0.125 Mpa,0.287 Mpa,0.290 Mpa,0.250 Mpa,,5.34%,,1.70%,2.29%,3.80%,2.87%,7.91%,2.90%,
