"Time","P_FW - I45","P_FW - I49","P_FW - I50","P_FW - I52","P_FW - I53","P_FW - I54","P_FW - I55","P_FW - I56","P_FW - I57","P_FW - I58"
2026-06-29 13:00:00,0.102 Mpa,0.0795 Mpa,0.0887 Mpa,0.0364 Mpa,0.149 Mpa,0.0194 Mpa,0.119 Mpa,0.145 Mpa,0.183 Mpa,
2026-06-29 16:00:00,0.0957 Mpa,0.198 Mpa,0.440 Mpa,0.0590 Mpa,0.0743 Mpa,0.127 Mpa,0.195 Mpa,0.116 Mpa,0.125 Mpa,
2026-06-29 19:00:00,0.125 Mpa,0.181 Mpa,0.125 Mpa,0.0124 Mpa,0.268 Mpa,0.150 Mpa,0.147 Mpa,0.0918 Mpa,0.124 Mpa,
2026-06-29 22:00:00,0.154 Mpa,0.0702 Mpa,0.160 Mpa,0.0947 Mpa,0.272 Mpa,0.102 Mpa,0.125 Mpa,0.0951 Mpa,0.172 Mpa,
2026-06-30 01:00:00,0.150 Mpa,0.102 Mpa,0.0745 Mpa,0.132 Mpa,0.250 Mpa,0.0360 Mpa,0.128 Mpa,0.0705 Mpa,0.0831 Mpa,
2026-06-30 04:00:00,0.0887 Mpa,0.0808 Mpa,0.0393 Mpa,0.132 Mpa,0.182 Mpa,,0.0956 Mpa,0.156 Mpa,0.0567 Mpa,
2026-06-30 07:00:00,0.0864 Mpa,0.317 Mpa,0.0688 Mpa,0.0794 Mpa,0.191 Mpa,0.0977 Mpa,0.0703 Mpa,0.232 Mpa,0.120 Mpa,
2026-06-30 10:00:00,0.0746 Mpa,0.242 Mpa,0.0827 Mpa,0.0582 Mpa,0.107 Mpa,0.0240 Mpa,0.0383 Mpa,0.117 Mpa,0.0604 Mpa,
2026-06-30 13:00:00,0.118 Mpa,0.148 Mpa,0.0990 Mpa,0.0981 Mpa,0.0906 Mpa,,0.181 Mpa,0.326 Mpa,0.172 Mpa,
2026-06-30 16:00:00,0.104 Mpa,0.247 Mpa,0.0133 Mpa,0.0550 Mpa,0.166 Mpa,,0.0756 Mpa,0.232 Mpa,0.125 Mpa,
2026-06-30 19:00:00,0.0677 Mpa,0.166 Mpa,0.0371 Mpa,0.0734 Mpa,0.0604 Mpa,,0.0904 Mpa,0.173 Mpa,0.115 Mpa,
2026-06-30 22:00:00,0.148 Mpa,0.114 Mpa,0.0626 Mpa,0.177 Mpa,0.309 Mpa,,0.192 Mpa,0.227 Mpa,0.0805 Mpa,
2026-07-01 01:00:00,0.162 Mpa,0.799 Mpa,0.177 Mpa,0.0531 Mpa,0.219 Mpa,0.00142 Mpa,0.194 Mpa,0.109 Mpa,0.0964 Mpa,
2026-07-01 04:00:00,0.0600 Mpa,0.184 Mpa,0.0471 Mpa,0.0374 Mpa,0.179 Mpa,0.0348 Mpa,0.325 Mpa,0.0895 Mpa,0.107 Mpa,
2026-07-01 07:00:00,0.0745 Mpa,0.464 Mpa,0.0430 Mpa,0.0554 Mpa,0.0490 Mpa,0.117 Mpa,0.0354 Mpa,0.0617 Mpa,0.170 Mpa,
2026-07-01 10:00:00,0.0906 Mpa,0.118 Mpa,0.0483 Mpa,0.0609 Mpa,0.101 Mpa,0.132 Mpa,0.0847 Mpa,0.0719 Mpa,0.0769 Mpa,
2026-07-01 13:00:00,0.115 Mpa,,0.113 Mpa,0.0891 Mpa,0.0706 Mpa,0.199 Mpa,0.183 Mpa,0.145 Mpa,0.116 Mpa,
2026-07-01 16:00:00,0.0934 Mpa,0.171 Mpa,0.122 Mpa,0.0772 Mpa,0.0879 Mpa,0.0115 Mpa,0.279 Mpa,0.151 Mpa,0.165 Mpa,
2026-07-01 19:00:00,0.105 Mpa,,0.0369 Mpa,0.0495 Mpa,0.0814 Mpa,0.117 Mpa,0.0600 Mpa,0.172 Mpa,0.0515 Mpa,
2026-07-01 22:00:00,0.0621 Mpa,,0.131 Mpa,0.0445 Mpa,0.0837 Mpa,0.317 Mpa,0.0995 Mpa,0.125 Mpa,0.0774 Mpa,
2026-07-02 01:00:00,0.0882 Mpa,,0.0666 Mpa,0.116 Mpa,0.183 Mpa,0.277 Mpa,0.314 Mpa,0.340 Mpa,0.0678 Mpa,
2026-07-02 04:00:00,0.0860 Mpa,,0.0587 Mpa,0.0886 Mpa,0.0660 Mpa,0.115 Mpa,0.0893 Mpa,0.138 Mpa,0.0949 Mpa,
2026-07-02 07:00:00,0.0536 Mpa,,0.0463 Mpa,0.0798 Mpa,0.104 Mpa,0.283 Mpa,0.0809 Mpa,0.161 Mpa,0.0884 Mpa,
2026-07-02 10:00:00,0.0574 Mpa,0 Mpa,0.0596 Mpa,0.106 Mpa,0.0422 Mpa,0.429 Mpa,0.0673 Mpa,0.0915 Mpa,0.0676 Mpa,
2026-07-02 13:00:00,0.0630 Mpa,0.0644 Mpa,0.193 Mpa,0.205 Mpa,0.193 Mpa,0.357 Mpa,0.0580 Mpa,0.198 Mpa,0.120 Mpa,0 Mpa
2026-07-02 16:00:00,0.110 Mpa,0.111 Mpa,0.154 Mpa,0.0929 Mpa,0.0654 Mpa,0.144 Mpa,0.104 Mpa,,0.134 Mpa,0.0739 Mpa
2026-07-02 19:00:00,0.151 Mpa,0.235 Mpa,0.0426 Mpa,0.0926 Mpa,0.198 Mpa,0.568 Mpa,0.116 Mpa,,,0.000277 Mpa
2026-07-02 22:00:00,0.0912 Mpa,0.322 Mpa,0.249 Mpa,0.0891 Mpa,0.138 Mpa,0.0631 Mpa,0.210 Mpa,,0.0192 Mpa,0.0000164 Mpa
2026-07-03 01:00:00,0.0954 Mpa,0.0656 Mpa,0.126 Mpa,0.0685 Mpa,0.151 Mpa,0.182 Mpa,0.210 Mpa,,0.152 Mpa,
2026-07-03 04:00:00,,0.208 Mpa,0.125 Mpa,0.0710 Mpa,0.172 Mpa,0.156 Mpa,0.0963 Mpa,,0.0788 Mpa,
2026-07-03 07:00:00,,0.0862 Mpa,0.114 Mpa,0.0918 Mpa,0.0551 Mpa,0.0722 Mpa,0.0544 Mpa,,0.0956 Mpa,0.0815 Mpa
2026-07-03 10:00:00,0 Mpa,0.0816 Mpa,0.159 Mpa,0.0502 Mpa,0.182 Mpa,0.126 Mpa,0.0924 Mpa,,0.0666 Mpa,0 Mpa
2026-07-03 13:00:00,0 Mpa,0.104 Mpa,0.165 Mpa,0.0630 Mpa,0.192 Mpa,0.0978 Mpa,0.0667 Mpa,0.00290 Mpa,0.0910 Mpa,0.0381 Mpa
2026-07-03 16:00:00,0.0250 Mpa,0.122 Mpa,0.152 Mpa,0.105 Mpa,0.0754 Mpa,0.0604 Mpa,0.197 Mpa,0.0773 Mpa,0.0636 Mpa,0.137 Mpa
2026-07-03 19:00:00,0.250 Mpa,0.0973 Mpa,0.0863 Mpa,0.0222 Mpa,0.0405 Mpa,0.0477 Mpa,0.166 Mpa,0.100 Mpa,0.0620 Mpa,0.00144 Mpa
