"Time","P_FW - I38","P_FW - I39","P_FW - I40","P_FW - I41","P_FW - I42","P_FW - I43","P_FW - I44","P_FW - I47","P_FW - I48"
2026-07-04 07:00:00,0.00894 Mpa,,0.225 Mpa,0.274 Mpa,0.195 Mpa,0.398 Mpa,0.447 Mpa,,
2026-07-04 10:00:00,0.172 Mpa,,0.157 Mpa,0.469 Mpa,0.187 Mpa,1.04 Mpa,0.566 Mpa,,
2026-07-04 13:00:00,0.185 Mpa,,0.719 Mpa,0.416 Mpa,0.0470 Mpa,0.867 Mpa,0.619 Mpa,,
2026-07-04 16:00:00,0.113 Mpa,,0.123 Mpa,0.217 Mpa,0.278 Mpa,0.751 Mpa,0.563 Mpa,,
2026-07-04 19:00:00,0.273 Mpa,,0.111 Mpa,0.315 Mpa,0.216 Mpa,0.215 Mpa,0.309 Mpa,,
2026-07-04 22:00:00,0.128 Mpa,,0.512 Mpa,0.744 Mpa,0.274 Mpa,0.223 Mpa,0.219 Mpa,0.721 Mpa,
2026-07-05 01:00:00,0.111 Mpa,,0.0558 Mpa,0.320 Mpa,0.0547 Mpa,0.257 Mpa,0.216 Mpa,,
2026-07-05 04:00:00,0.167 Mpa,,0.0747 Mpa,0.138 Mpa,0.240 Mpa,0.307 Mpa,0.347 Mpa,,
2026-07-05 07:00:00,0.186 Mpa,,0.319 Mpa,1.46 Mpa,0.147 Mpa,0.297 Mpa,0.346 Mpa,,
2026-07-05 10:00:00,0.174 Mpa,,0.174 Mpa,0.259 Mpa,0.151 Mpa,0.304 Mpa,0.523 Mpa,,
2026-07-05 13:00:00,0.184 Mpa,,0.141 Mpa,0.767 Mpa,0.209 Mpa,0.490 Mpa,0.261 Mpa,,
2026-07-05 16:00:00,0.379 Mpa,,0.262 Mpa,0.116 Mpa,0.129 Mpa,0.352 Mpa,0.239 Mpa,,
2026-07-05 19:00:00,0.222 Mpa,,0.184 Mpa,0.223 Mpa,0.232 Mpa,0.238 Mpa,0.332 Mpa,,
2026-07-05 22:00:00,0.185 Mpa,,0.166 Mpa,0.191 Mpa,0.0281 Mpa,0.694 Mpa,0.161 Mpa,,
2026-07-06 01:00:00,0.0560 Mpa,,0.160 Mpa,0.180 Mpa,0.0438 Mpa,0.788 Mpa,0.337 Mpa,,
2026-07-06 04:00:00,0.0919 Mpa,,0.194 Mpa,0.225 Mpa,0.0395 Mpa,0.461 Mpa,0.219 Mpa,,
2026-07-06 07:00:00,0.0167 Mpa,,0.194 Mpa,0.205 Mpa,0.272 Mpa,0.323 Mpa,0.300 Mpa,,
2026-07-06 10:00:00,0.331 Mpa,,0.264 Mpa,0.226 Mpa,0.277 Mpa,0.266 Mpa,0.279 Mpa,2.51 Mpa,
2026-07-06 13:00:00,0.116 Mpa,,0.273 Mpa,0.347 Mpa,0.280 Mpa,0.366 Mpa,0.347 Mpa,2.33 Mpa,
2026-07-06 16:00:00,0.113 Mpa,,0.215 Mpa,0.164 Mpa,1.34 Mpa,0.544 Mpa,0.259 Mpa,1.67 Mpa,
2026-07-06 19:00:00,0.0849 Mpa,,0.410 Mpa,0.203 Mpa,0.0647 Mpa,0.259 Mpa,0.243 Mpa,,
2026-07-06 22:00:00,0.140 Mpa,,0.356 Mpa,0.315 Mpa,0.0886 Mpa,0.257 Mpa,0.289 Mpa,,
2026-07-07 01:00:00,0.0688 Mpa,,0.0978 Mpa,0.183 Mpa,0.0427 Mpa,0.282 Mpa,0.264 Mpa,,
2026-07-07 04:00:00,0.109 Mpa,,0.266 Mpa,0.257 Mpa,0.163 Mpa,0.513 Mpa,0.195 Mpa,,
2026-07-07 07:00:00,0.0783 Mpa,,0.212 Mpa,0.0510 Mpa,0.210 Mpa,0.595 Mpa,0.411 Mpa,,
2026-07-07 10:00:00,0.0633 Mpa,,0.269 Mpa,0.360 Mpa,0.277 Mpa,,0.387 Mpa,,
2026-07-07 13:00:00,0.199 Mpa,,0.194 Mpa,,0.678 Mpa,0.192 Mpa,0.281 Mpa,,
2026-07-07 16:00:00,0.0477 Mpa,,0.409 Mpa,0.131 Mpa,0.481 Mpa,0.325 Mpa,0.674 Mpa,,
2026-07-07 19:00:00,0.0444 Mpa,,0.0344 Mpa,0.176 Mpa,0.0494 Mpa,0.322 Mpa,0.461 Mpa,,
2026-07-07 22:00:00,0.0676 Mpa,,0.111 Mpa,0.500 Mpa,0.0485 Mpa,0.287 Mpa,0.350 Mpa,,
2026-07-08 01:00:00,0.176 Mpa,,0.140 Mpa,0.561 Mpa,0.199 Mpa,0.294 Mpa,0.240 Mpa,,
