"Time","%_FW - I38","%_FW - I39","%_FW - I40","%_FW - I41","%_FW - I42","%_FW - I43","%_FW - I44","%_FW - I47","%_FW - I48"
2026-07-30 16:00:00,4.46%,26.8%,0.323%,4.38%,5.97%,,5.87%,,2.55%
2026-07-30 19:00:00,8.10%,10.3%,3.70%,3.46%,5.93%,,1.52%,,4.91%
2026-07-30 22:00:00,7.66%,5.55%,7.39%,32.4%,13.8%,,12.8%,,12.7%
2026-07-31 01:00:00,9.58%,5.41%,2.75%,4.44%,6.36%,,1.27%,,2.80%
2026-07-31 04:00:00,25.9%,9.14%,7.06%,3.89%,1.78%,,3.81%,,9.03%
2026-07-31 07:00:00,13.0%,9.90%,18.4%,1.82%,3.66%,,6.42%,,4.87%
2026-07-31 10:00:00,7.10%,12.9%,11.8%,19.9%,1.48%,,7.30%,,3.93%
2026-07-31 13:00:00,0.0850%,11.9%,11.1%,15.5%,16.2%,,17.0%,,12.5%
2026-07-31 16:00:00,,5.38%,4.26%,6.83%,6.26%,,11.9%,,3.09%
2026-07-31 19:00:00,,24.2%,15.2%,3.29%,3.08%,,12.0%,,6.29%
2026-07-31 22:00:00,,8.15%,9.15%,18.7%,6.60%,,14.4%,,2.26%
2026-08-01 01:00:00,,13.8%,9.88%,18.8%,30.9%,,9.42%,,8.77%
2026-08-01 04:00:00,,29.5%,9.01%,5.12%,12.7%,,11.2%,,4.30%
2026-08-01 07:00:00,,12.5%,40.6%,6.07%,64.9%,,5.01%,,2.01%
2026-08-01 10:00:00,,10.6%,4.10%,16.6%,9.38%,,18.3%,,2.75%
2026-08-01 13:00:00,,7.64%,2.84%,27.3%,8.02%,,22.0%,,6.59%
2026-08-01 16:00:00,,7.83%,2.06%,4.58%,7.04%,,9.21%,,15.4%
2026-08-01 19:00:00,,4.18%,2.24%,6.14%,6.68%,,5.95%,,5.57%
2026-08-01 22:00:00,0.158%,16.7%,1.48%,4.18%,6.70%,,6.71%,,6.86%
2026-08-02 01:00:00,6.42%,13.3%,1.01%,14.8%,3.17%,,10.4%,,4.45%
2026-08-02 04:00:00,3.89%,18.2%,3.61%,3.50%,4.11%,,4.46%,,6.97%
2026-08-02 07:00:00,1.29%,6.05%,9.29%,6.37%,47.1%,,6.70%,,4.50%
2026-08-02 10:00:00,12.7%,7.84%,2.49%,6.63%,13.8%,,27.0%,,8.81%
2026-08-02 13:00:00,10.5%,5.94%,25.2%,9.53%,3.07%,,7.63%,,6.41%
2026-08-02 16:00:00,10.7%,7.24%,0.963%,4.78%,5.22%,,6.42%,,9.14%
2026-08-02 19:00:00,1.67%,6.36%,8.48%,5.44%,18.4%,,5.74%,,1.98%
2026-08-02 22:00:00,25.8%,10.8%,2.14%,9.85%,3.45%,1.26%,3.26%,,3.01%
2026-08-03 01:00:00,12.3%,3.04%,5.23%,1.95%,0.786%,0.658%,21.0%,,3.65%
2026-08-03 04:00:00,30.4%,26.2%,3.63%,2.86%,7.30%,,11.5%,,5.89%
2026-08-03 07:00:00,5.60%,8.98%,2.29%,7.02%,0.327%,0%,5.39%,,8.41%
2026-08-03 10:00:00,13.8%,8.48%,2.47%,6.46%,30.2%,,11.2%,,9.10%
2026-08-03 13:00:00,10.8%,9.94%,4.83%,4.87%,12.9%,2.15%,4.13%,,4.68%
2026-08-03 16:00:00,6.43%,25.2%,0.982%,5.02%,2.46%,2.01%,6.54%,,6.12%
2026-08-03 19:00:00,4.18%,12.5%,5.49%,3.41%,4.81%,,8.54%,,3.57%
2026-08-03 22:00:00,5.38%,20.2%,1.14%,4.40%,0.0889%,3.51%,3.89%,,32.1%
