"Time","%_FW - I45","%_FW - I49","%_FW - I50","%_FW - I52","%_FW - I53","%_FW - I54","%_FW - I55","%_FW - I56","%_FW - I57","%_FW - I58"
2026-07-09 07:00:00,12.7%,3.85%,6.22%,11.6%,9.14%,7.73%,1.09%,5.80%,4.63%,8.28%
2026-07-09 10:00:00,16.0%,2.01%,5.86%,6.06%,4.73%,10.0%,1.49%,4.94%,3.93%,6.17%
2026-07-09 13:00:00,21.5%,3.40%,6.32%,15.3%,9.30%,16.0%,3.54%,16.9%,4.52%,5.63%
2026-07-09 16:00:00,6.31%,3.44%,2.55%,14.5%,3.62%,12.9%,3.37%,21.0%,3.31%,7.82%
2026-07-09 19:00:00,4.77%,3.45%,3.77%,16.7%,9.95%,8.73%,4.53%,6.49%,9.32%,5.63%
2026-07-09 22:00:00,7.73%,7.22%,6.55%,8.70%,17.7%,19.6%,4.94%,4.23%,12.0%,7.28%
2026-07-10 01:00:00,3.44%,7.64%,4.71%,8.08%,11.8%,17.9%,13.2%,4.81%,4.12%,6.82%
2026-07-10 04:00:00,5.78%,6.12%,6.99%,15.0%,6.69%,18.7%,9.68%,3.45%,3.76%,7.78%
2026-07-10 07:00:00,9.90%,5.26%,6.28%,20.7%,6.95%,8.00%,6.35%,2.46%,4.65%,5.82%
2026-07-10 10:00:00,7.87%,2.91%,10.1%,8.12%,4.14%,6.36%,1.50%,3.24%,2.36%,6.97%
2026-07-10 13:00:00,7.72%,2.62%,3.17%,8.58%,15.8%,7.90%,16.5%,4.71%,5.99%,8.31%
2026-07-10 16:00:00,14.4%,1.07%,3.70%,9.33%,5.55%,31.9%,11.3%,7.03%,2.84%,7.42%
2026-07-10 19:00:00,4.51%,64.7%,5.44%,18.4%,3.59%,5.79%,50.6%,6.72%,2.08%,4.92%
2026-07-10 22:00:00,5.30%,2.61%,8.10%,7.85%,5.82%,11.2%,5.04%,3.88%,2.69%,8.04%
2026-07-11 01:00:00,4.93%,1.00%,11.0%,17.7%,13.6%,9.20%,4.94%,3.31%,2.84%,6.63%
2026-07-11 04:00:00,6.58%,7.02%,8.03%,12.7%,11.2%,17.2%,1.79%,4.97%,3.03%,10.1%
2026-07-11 07:00:00,6.90%,3.75%,4.46%,16.3%,5.78%,24.5%,1.64%,8.47%,9.54%,6.68%
2026-07-11 10:00:00,10.2%,2.02%,3.22%,17.9%,2.96%,35.4%,1.78%,4.62%,3.56%,7.97%
2026-07-11 13:00:00,20.2%,3.76%,0.118%,22.7%,13.2%,36.8%,9.44%,6.42%,2.36%,6.65%
2026-07-11 16:00:00,3.61%,2.27%,14.8%,20.3%,4.17%,21.9%,1.29%,7.23%,2.90%,8.06%
2026-07-11 19:00:00,,2.52%,4.39%,15.7%,3.17%,7.99%,2.16%,7.94%,1.20%,7.71%
2026-07-11 22:00:00,3.82%,12.4%,22.7%,7.53%,2.91%,28.2%,1.53%,8.70%,3.45%,9.21%
2026-07-12 01:00:00,,26.4%,4.08%,18.6%,5.67%,11.4%,1.84%,6.72%,2.65%,6.69%
2026-07-12 04:00:00,,5.19%,3.21%,7.47%,7.78%,15.4%,4.27%,3.83%,2.62%,6.05%
2026-07-12 07:00:00,,15.2%,0.773%,9.20%,9.01%,33.9%,5.56%,2.51%,4.14%,7.22%
2026-07-12 10:00:00,,24.9%,0.0127%,9.90%,5.71%,11.6%,1.99%,5.94%,4.47%,7.45%
2026-07-12 13:00:00,,1.85%,4.62%,7.95%,10.0%,8.19%,1.37%,2.84%,4.93%,7.33%
2026-07-12 16:00:00,,4.41%,2.83%,6.58%,10.2%,10.9%,1.94%,3.60%,3.42%,10.2%
2026-07-12 19:00:00,,3.61%,7.57%,24.3%,22.1%,15.5%,1.15%,2.62%,3.88%,7.45%
2026-07-12 22:00:00,,8.96%,9.86%,13.2%,9.00%,7.45%,4.25%,3.18%,3.66%,6.93%
2026-07-13 01:00:00,,11.6%,8.07%,8.68%,6.76%,14.5%,5.06%,3.37%,4.99%,6.54%
2026-07-13 04:00:00,1.34%,11.2%,7.78%,7.26%,7.28%,14.9%,3.35%,4.17%,13.0%,4.71%
2026-07-13 07:00:00,2.91%,4.95%,5.14%,25.1%,8.69%,10.4%,1.36%,6.04%,12.9%,8.40%
2026-07-13 10:00:00,30.5%,11.1%,7.70%,23.8%,5.16%,15.9%,0.708%,5.45%,3.76%,10.8%
2026-07-13 13:00:00,42.7%,4.09%,4.49%,7.78%,15.6%,10.1%,2.70%,13.0%,8.68%,8.45%
2026-07-13 16:00:00,6.55%,3.71%,6.54%,7.06%,2.70%,29.2%,1.80%,7.74%,2.19%,9.30%
2026-07-13 19:00:00,3.32%,7.65%,10.8%,16.2%,7.20%,13.4%,5.56%,15.3%,5.64%,8.00%
2026-07-13 22:00:00,6.86%,7.17%,14.0%,9.15%,3.15%,11.9%,5.95%,2.38%,7.10%,7.99%
2026-07-14 01:00:00,2.31%,6.86%,8.43%,13.2%,2.16%,30.8%,1.98%,4.67%,11.0%,4.95%
2026-07-14 04:00:00,3.95%,5.59%,5.78%,6.60%,4.20%,19.7%,1.67%,7.44%,5.41%,4.04%
2026-07-14 07:00:00,35.7%,3.41%,13.4%,8.18%,4.72%,17.4%,6.20%,9.38%,0.955%,5.33%
2026-07-14 10:00:00,9.28%,4.49%,3.06%,7.83%,8.38%,9.37%,0.975%,3.05%,12.5%,8.66%
2026-07-14 13:00:00,18.3%,4.95%,2.92%,10.6%,2.17%,18.1%,2.67%,4.86%,7.65%,4.72%
2026-07-14 16:00:00,4.71%,3.99%,2.75%,11.6%,26.9%,6.10%,5.54%,5.69%,6.08%,5.30%
2026-07-14 19:00:00,5.65%,9.18%,3.62%,8.22%,17.7%,9.29%,5.31%,2.90%,10.2%,5.88%
2026-07-14 22:00:00,4.69%,9.43%,6.18%,8.28%,17.3%,25.7%,1.78%,11.2%,2.70%,5.48%
2026-07-15 01:00:00,5.53%,4.02%,4.63%,7.12%,13.4%,36.2%,2.26%,4.84%,6.23%,6.39%
2026-07-15 04:00:00,4.02%,3.20%,2.98%,8.64%,19.4%,12.9%,5.97%,3.91%,3.15%,16.3%
2026-07-15 07:00:00,19.0%,0.113%,4.91%,12.5%,22.8%,25.5%,2.11%,3.41%,5.43%,7.80%
2026-07-15 10:00:00,6.10%,2.38%,7.65%,12.3%,15.7%,14.4%,2.75%,3.07%,3.89%,8.76%
2026-07-15 13:00:00,6.75%,3.94%,6.54%,6.51%,13.4%,20.1%,2.70%,6.06%,1.08%,5.61%
2026-07-15 16:00:00,3.15%,1.84%,3.85%,43.2%,9.31%,13.5%,1.21%,3.39%,7.67%,7.67%
2026-07-15 19:00:00,2.65%,2.81%,1.91%,9.04%,5.90%,19.6%,2.81%,3.44%,8.86%,20.5%
2026-07-15 22:00:00,5.78%,1.47%,3.23%,7.10%,18.3%,28.8%,2.24%,3.14%,8.15%,10.9%
2026-07-16 01:00:00,4.72%,0.855%,5.90%,9.19%,5.42%,11.9%,3.89%,10.3%,3.11%,10.9%
2026-07-16 04:00:00,3.17%,2.39%,7.95%,7.53%,6.47%,7.95%,2.04%,4.09%,2.36%,6.84%
2026-07-16 07:00:00,2.95%,3.68%,2.32%,9.29%,33.3%,17.0%,1.15%,4.18%,6.63%,6.57%
2026-07-16 10:00:00,6.44%,3.96%,2.78%,9.30%,5.80%,5.29%,1.38%,11.5%,6.47%,11.2%
2026-07-16 13:00:00,10.8%,3.80%,4.52%,15.0%,39.1%,9.27%,4.04%,8.23%,3.72%,22.5%
2026-07-16 16:00:00,6.11%,0.749%,19.3%,8.39%,10.2%,13.3%,2.98%,2.45%,2.92%,8.02%
2026-07-16 19:00:00,3.87%,2.92%,5.07%,8.33%,15.7%,4.50%,1.05%,5.39%,3.00%,6.56%
2026-07-16 22:00:00,12.8%,3.18%,4.15%,8.89%,12.9%,19.6%,3.39%,16.7%,5.82%,7.08%
2026-07-17 01:00:00,4.64%,4.90%,1.74%,7.93%,18.5%,10.9%,3.93%,16.2%,4.19%,5.53%
2026-07-17 04:00:00,3.25%,2.53%,,6.93%,10.8%,10.7%,5.58%,2.12%,3.62%,7.29%
2026-07-17 07:00:00,3.89%,3.68%,,9.10%,23.4%,4.68%,4.17%,1.78%,5.45%,6.92%
2026-07-17 10:00:00,8.03%,3.57%,,8.55%,14.0%,10.4%,2.16%,4.76%,3.95%,7.94%
2026-07-17 13:00:00,8.97%,1.80%,,6.87%,13.3%,1.78%,1.48%,5.72%,3.98%,7.41%
2026-07-17 16:00:00,3.58%,2.82%,3.90%,8.44%,5.36%,7.85%,4.13%,4.58%,3.63%,7.39%
2026-07-17 19:00:00,5.49%,9.54%,4%,7.91%,28.9%,6.11%,4.26%,6.37%,3.46%,6.14%
2026-07-17 22:00:00,9.33%,2.29%,3.78%,6.24%,37.7%,16.2%,4.63%,3.93%,3.83%,5.72%
2026-07-18 01:00:00,3.90%,3.42%,18.4%,8.22%,23.1%,7.94%,4.46%,3.40%,6.96%,8.29%
2026-07-18 04:00:00,5.76%,3.30%,13.2%,12.5%,8.60%,11.6%,,3.55%,5.52%,6.14%
2026-07-18 07:00:00,4.96%,7.94%,10.4%,10.5%,14.5%,6.52%,,10.7%,7.14%,6.85%
2026-07-18 10:00:00,5.24%,10.1%,3.86%,8.62%,15.3%,3.53%,3.58%,3.85%,2.46%,6.66%
2026-07-18 13:00:00,3.27%,4.25%,6.24%,9.00%,3.97%,4.69%,,4.39%,2.92%,6.81%
2026-07-18 16:00:00,10.7%,5.66%,7.66%,9.49%,21.6%,4.95%,,6.88%,5.44%,5.92%
2026-07-18 19:00:00,30.6%,1.06%,4.58%,6.92%,4.26%,7.20%,,2.87%,9.61%,7.09%
2026-07-18 22:00:00,31.6%,2.09%,14.1%,6.95%,2.95%,3.79%,,8.30%,3.74%,5.97%
2026-07-19 01:00:00,4.70%,3.18%,,7.73%,7.71%,2.93%,2.96%,3.51%,5.92%,6.46%
2026-07-19 04:00:00,4.60%,4.92%,25.4%,16.2%,3.72%,3.10%,4.10%,2.65%,4.26%,6.76%
2026-07-19 07:00:00,4.21%,3.40%,18.4%,6.69%,3.74%,3.86%,3.32%,1.54%,3.79%,7.79%
2026-07-19 10:00:00,4.57%,3.83%,22.8%,6.48%,9.81%,4.15%,3.99%,6.13%,4.16%,7.10%
2026-07-19 13:00:00,5.68%,1.63%,7.59%,9.90%,28.6%,3.32%,2.36%,4.45%,9.80%,6.85%
2026-07-19 16:00:00,12.3%,3.46%,17.3%,13.8%,4.62%,3.05%,2.40%,3.81%,13.7%,4.93%
2026-07-19 19:00:00,3.99%,4.70%,5.44%,7.55%,5.88%,7.24%,0.349%,5.57%,11.9%,12.3%
2026-07-19 22:00:00,3.63%,4.05%,6.61%,8.86%,8.10%,8.96%,2.75%,2.51%,7.26%,7.91%
