"Time","%_FW - I45","%_FW - I49","%_FW - I50","%_FW - I52","%_FW - I53","%_FW - I54","%_FW - I55","%_FW - I56","%_FW - I57","%_FW - I58"
2026-08-17 13:00:00,7.39%,1.30%,0.605%,9.81%,4.23%,8.64%,,10.3%,3.65%,8.88%
2026-08-17 16:00:00,9.98%,13.6%,13.5%,8.74%,6.86%,3.53%,,17.3%,8.34%,11.4%
2026-08-17 19:00:00,6.53%,2.40%,3.99%,22.6%,2.61%,8.80%,,14.2%,3.41%,
2026-08-17 22:00:00,12.8%,21.6%,11.2%,13.9%,5.55%,5.06%,,12.5%,3.49%,
2026-08-18 01:00:00,9.10%,8.33%,0.716%,10.4%,9.92%,4.58%,1.47%,,2.60%,10.6%
2026-08-18 04:00:00,24.9%,1.83%,5.47%,11.5%,8.24%,3.96%,8.70%,7.15%,5.07%,6.97%
2026-08-18 07:00:00,8.44%,16.8%,1.53%,12.5%,2.85%,4.23%,15.0%,5.81%,1.89%,5.45%
2026-08-18 10:00:00,8.33%,4.47%,2.81%,7.54%,3.99%,4.49%,3.57%,12.6%,7.30%,5.91%
2026-08-18 13:00:00,4.24%,9.02%,3.45%,11.5%,4.85%,15.1%,1.99%,5.61%,17.0%,8.36%
2026-08-18 16:00:00,6.80%,3.55%,0.0704%,9.65%,6.69%,6.05%,2.83%,3.65%,7.65%,6.12%
2026-08-18 19:00:00,3.54%,4.49%,9.83%,11.0%,2.88%,2.33%,4.27%,2.53%,16.9%,7.30%
2026-08-18 22:00:00,5.73%,4.35%,4.77%,20.7%,5.49%,2.42%,5.99%,4.37%,5.22%,10.1%
2026-08-19 01:00:00,5.83%,3.85%,10.7%,10.1%,4.31%,2.91%,1.15%,57.4%,8.85%,9.31%
2026-08-19 04:00:00,7.36%,4.21%,1.42%,8.05%,6.13%,7.49%,4.33%,,21.6%,5.48%
2026-08-19 07:00:00,9.08%,12.8%,1.09%,6.51%,7.16%,10.9%,3.82%,,21.7%,6.59%
2026-08-19 10:00:00,5.21%,5.82%,1.55%,6.43%,10.5%,6.75%,5.61%,,6.47%,5.49%
2026-08-19 13:00:00,3.70%,16.2%,2.29%,9.88%,76.2%,8.49%,7.34%,2.37%,5.86%,8.07%
2026-08-19 16:00:00,5.30%,2.20%,2.53%,13.4%,,21.2%,3.24%,18.0%,2.53%,6.73%
2026-08-19 19:00:00,12.5%,3.62%,6.63%,8.69%,,8.84%,3.09%,27.4%,3.95%,5.31%
2026-08-19 22:00:00,5.93%,3.32%,6.78%,10.1%,,6.58%,3.25%,11.3%,5.70%,5.38%
2026-08-20 01:00:00,5.62%,1.71%,4.38%,9.05%,15.6%,7.57%,2.75%,10.2%,16.3%,8.91%
2026-08-20 04:00:00,4.13%,8.18%,2.57%,7.44%,9.39%,5.40%,6.79%,5.56%,7.96%,5.85%
2026-08-20 07:00:00,5.49%,3.34%,2.16%,8.51%,3.88%,2.76%,25.4%,3.27%,1.87%,7.63%
2026-08-20 10:00:00,6.23%,4.72%,1.12%,14.1%,14.0%,3.54%,5.35%,4.31%,3.73%,5.94%
2026-08-20 13:00:00,10.9%,0.122%,2.34%,13.0%,3.46%,4.61%,6.48%,4.44%,8.56%,7.13%
2026-08-20 16:00:00,61.1%,4.12%,2.52%,8.73%,3.35%,3.63%,3.61%,5.62%,1.81%,6.38%
2026-08-20 19:00:00,,11.6%,0.799%,5.94%,23.7%,3.09%,3.03%,6.11%,2.23%,8.40%
2026-08-20 22:00:00,3.67%,8.65%,4.68%,12.8%,3.90%,1.57%,2.93%,3.07%,2.04%,8.00%
2026-08-21 01:00:00,,2.50%,3.87%,13.5%,23.1%,7.61%,0.313%,9.55%,7.71%,8.00%
2026-08-21 04:00:00,,5.16%,1.42%,33.1%,11.1%,4.59%,3.83%,4.04%,11.6%,6.68%
2026-08-21 07:00:00,,7.50%,2.46%,22.0%,4.64%,4.31%,12.7%,5.83%,10.2%,7.47%
2026-08-21 10:00:00,,5.46%,1.59%,8.54%,9.85%,8.32%,21.6%,4.36%,3.19%,8.43%
2026-08-21 13:00:00,2.79%,1.94%,1.11%,18.9%,8.52%,33.5%,11.3%,14.1%,3.50%,12.8%
2026-08-21 16:00:00,,3.67%,3.60%,7.97%,8.12%,4.00%,9.48%,4.08%,3.83%,7.91%
2026-08-21 19:00:00,,4.95%,7.04%,10.3%,20.2%,4.35%,3.07%,3.68%,1.53%,6.14%
2026-08-21 22:00:00,14.0%,7.56%,1.10%,8.27%,2.96%,3.94%,4.31%,10.1%,7.21%,5.62%
2026-08-22 01:00:00,20.7%,9.01%,2.77%,7.39%,3.72%,4.76%,5.19%,2.14%,10.5%,10.0%
2026-08-22 04:00:00,6.53%,6.72%,1.22%,7.34%,2.32%,5.25%,2.44%,7.27%,4.30%,7.56%
2026-08-22 07:00:00,3.09%,2.56%,2.92%,12.8%,10.8%,8.52%,10.8%,5.16%,2.27%,7.19%
2026-08-22 10:00:00,4.40%,2.16%,3.35%,9.79%,1.14%,4.56%,4.12%,4.66%,1.00%,6.34%
2026-08-22 13:00:00,3.33%,3.60%,4.76%,6.90%,6.16%,7.48%,6.32%,4.53%,5.08%,6.56%
2026-08-22 16:00:00,3.06%,0.902%,1.24%,15.9%,17.6%,5.28%,5.25%,4.94%,3.06%,7.63%
2026-08-22 19:00:00,4.50%,5.82%,8.21%,8.56%,27.1%,12.5%,2.91%,6.54%,10.7%,5.13%
2026-08-22 22:00:00,8.61%,3.36%,4.23%,7.71%,2.98%,10.1%,7.72%,5.16%,0.840%,5.32%
2026-08-23 01:00:00,15.9%,6.87%,0.366%,10.4%,5.06%,7.88%,1.64%,8.43%,4.42%,6.22%
2026-08-23 04:00:00,10.3%,16.0%,9.70%,20.4%,4.62%,18.8%,5.58%,8.01%,3.98%,11.8%
2026-08-23 07:00:00,11.4%,6.22%,0.0886%,11.5%,3.71%,35.1%,5.35%,14.8%,2.03%,7.10%
2026-08-23 10:00:00,9.94%,1.90%,3.21%,31.7%,5.92%,5.26%,7.37%,4.90%,4.49%,7.34%
2026-08-23 13:00:00,9.06%,23.9%,18.8%,11.6%,9.52%,3.49%,0.971%,28.5%,3.80%,18.0%
2026-08-23 16:00:00,4.10%,14.3%,16.2%,10.6%,2.34%,1.84%,7.38%,35.3%,2.62%,12.1%
2026-08-23 19:00:00,7.24%,7.42%,14.5%,9.10%,16.1%,33.1%,19.5%,13.4%,25.3%,23.3%
2026-08-23 22:00:00,10.8%,6.08%,28.2%,8.98%,6.92%,10.1%,18.9%,2.85%,5.71%,6.34%
2026-08-24 01:00:00,8.06%,0.670%,5.86%,7.37%,20.9%,3.65%,3.68%,2.62%,2.17%,7.78%
2026-08-24 04:00:00,6.64%,3.79%,4.20%,11.8%,6.00%,4.62%,3.58%,10.2%,2.76%,6.75%
2026-08-24 07:00:00,14.1%,6.62%,3.98%,17.0%,2.97%,2.55%,5.36%,10.6%,8.81%,7.51%
2026-08-24 10:00:00,6.27%,2.06%,1.08%,11.1%,13.5%,9.96%,5.23%,7.52%,,6.41%
2026-08-24 13:00:00,5.45%,14.7%,1.66%,12.3%,9.59%,2.07%,5.40%,2.60%,,4.76%
2026-08-24 16:00:00,4.31%,7.43%,2.92%,6.55%,8.95%,6.34%,15.1%,9.76%,1.59%,5.67%
2026-08-24 19:00:00,6.67%,17.0%,0.920%,15.9%,15.3%,32.0%,18.5%,6.69%,5.29%,6.80%
2026-08-24 22:00:00,7.22%,2.58%,1.17%,11.0%,4.50%,8.67%,5.83%,4.85%,4.79%,8.32%
2026-08-25 01:00:00,4.76%,2.23%,0.888%,8.60%,10.4%,10.6%,4.18%,4.51%,8.53%,14.5%
2026-08-25 04:00:00,8.03%,9.74%,8.05%,7.46%,28.5%,7.39%,5.36%,3.92%,3.94%,5.92%
2026-08-25 07:00:00,9.52%,9.41%,11.2%,7.66%,13.3%,,3.45%,8.13%,3.28%,5.19%
2026-08-25 10:00:00,9.42%,8.14%,5.88%,6.65%,12.5%,13.0%,1.51%,5.69%,6.50%,6.02%
2026-08-25 13:00:00,9.11%,1.84%,,6.39%,9.71%,,4.76%,6.84%,2.48%,7.03%
2026-08-25 16:00:00,11.1%,8.30%,16.2%,8.23%,8.45%,,5.01%,8.29%,1.80%,5.44%
2026-08-25 19:00:00,5.96%,1.54%,1.84%,8.15%,20.3%,,4.24%,2.53%,2.71%,4.81%
2026-08-25 22:00:00,9.10%,1.72%,5.23%,9.09%,4.72%,,2.19%,3.92%,4.15%,7.73%
2026-08-26 01:00:00,5.63%,2.93%,1.22%,9.60%,9.76%,,1.78%,4.21%,8.59%,6.08%
2026-08-26 04:00:00,4.23%,5.25%,0.862%,6.59%,8.84%,,13.4%,2.58%,1.93%,11.4%
2026-08-26 07:00:00,5.97%,11.8%,4.71%,6.81%,19.7%,,5.51%,6.45%,5.96%,8.62%
2026-08-26 10:00:00,6.20%,9.04%,3.66%,11.6%,20.9%,,9.34%,1.44%,6.38%,8.41%
2026-08-26 13:00:00,5.94%,7.19%,7.45%,12.3%,3.79%,,0.0594%,6.63%,3.00%,6.70%
2026-08-26 16:00:00,10.3%,3.86%,0%,8.54%,4.22%,,2.54%,4.58%,7.64%,5.72%
2026-08-26 19:00:00,3.07%,2.57%,3.29%,9.84%,6.65%,,8.83%,5.98%,1.57%,7.15%
2026-08-26 22:00:00,7.65%,0.487%,2.15%,10.2%,5.19%,1.42%,9.65%,4.18%,13.7%,6.78%
2026-08-27 01:00:00,2.96%,5.53%,0.735%,8.22%,7.61%,13.3%,11.5%,2.66%,2.45%,7.84%
2026-08-27 04:00:00,5.30%,8.19%,3.57%,8.31%,3.86%,6.35%,52.4%,5.49%,2.65%,8.85%
2026-08-27 07:00:00,2.65%,3.27%,5.82%,7.47%,5.59%,20.5%,11.0%,2.63%,1.82%,9.49%
2026-08-27 10:00:00,6.05%,6.94%,0.138%,14.4%,4.50%,9.90%,5.18%,2.69%,1.91%,7.10%
2026-08-27 13:00:00,5.74%,8.15%,0.560%,14.7%,4.49%,,6.81%,5.79%,6.17%,8.37%
2026-08-27 16:00:00,4.57%,3.18%,0.645%,7.08%,7.06%,2.25%,3.58%,4.01%,2.87%,6.57%
2026-08-27 19:00:00,6.64%,10.4%,0.249%,7.33%,4.13%,9.48%,2.30%,3.74%,4.26%,6.58%
2026-08-27 22:00:00,5.53%,1.97%,6.66%,8.57%,3.98%,17.5%,6.71%,2.15%,2.94%,10.8%
2026-08-28 01:00:00,6.88%,15.2%,0.816%,7.18%,3.56%,10.2%,12.7%,5.73%,4.24%,8.11%
2026-08-28 04:00:00,6.97%,4.27%,2.01%,7.81%,3.46%,14.8%,7.65%,5.33%,10.9%,9.44%
2026-08-28 07:00:00,3.26%,2.41%,5.35%,11.2%,1.85%,11.1%,0.702%,3.78%,8.41%,
2026-08-28 10:00:00,2.81%,7.65%,3.86%,8.34%,20.5%,7.80%,1.20%,10.5%,3.68%,
2026-08-28 13:00:00,3.77%,13.0%,1.83%,12.8%,26.7%,19.4%,9.91%,4.34%,1.42%,
2026-08-28 16:00:00,6.23%,7.91%,0.188%,10.9%,12.2%,7.22%,3.93%,3.29%,3.90%,
2026-08-28 19:00:00,3.79%,6.97%,16.9%,7.77%,9.53%,8.76%,1.79%,21.0%,3.90%,7.00%
2026-08-28 22:00:00,2.68%,7.33%,8.53%,6.54%,5.85%,8.98%,15.4%,6.26%,5.77%,5.70%
2026-08-29 01:00:00,9.30%,5.50%,3.36%,7.65%,5.35%,7.67%,2.98%,2.07%,0.630%,6.35%
2026-08-29 04:00:00,5.04%,2.67%,6.70%,11.1%,6.76%,28.7%,5.07%,6.57%,7.71%,5.68%
2026-08-29 07:00:00,5.85%,6.28%,9.83%,13.5%,9.38%,5.94%,3.35%,4.87%,2.50%,5.94%
2026-08-29 10:00:00,5.36%,2.74%,8.20%,9.19%,7.79%,10.8%,9.46%,3.95%,8.33%,5.21%
2026-08-29 13:00:00,9.21%,3.78%,9.64%,11.8%,20.6%,4.99%,8.61%,3.40%,12.8%,6.20%
2026-08-29 16:00:00,13.3%,1.35%,2.45%,9.53%,8.26%,2.45%,4.27%,9.64%,2.49%,9.02%
2026-08-29 19:00:00,4.85%,0%,11.0%,16.1%,8.82%,17.4%,1.22%,5.87%,3.80%,7.28%
2026-08-29 22:00:00,5.38%,8.53%,5.33%,7.72%,13.0%,10.2%,8.26%,5.40%,0.940%,5.81%
2026-08-30 01:00:00,3.93%,1.49%,11.6%,8.71%,19.4%,35.6%,1.48%,2.44%,3.82%,11.8%
2026-08-30 04:00:00,4.73%,2.39%,5.73%,8.39%,10.3%,6.69%,2.05%,3.83%,10.4%,7.42%
2026-08-30 07:00:00,6.86%,5.96%,16.0%,9.35%,24.7%,1.77%,5.47%,3.04%,2.88%,6.17%
2026-08-30 10:00:00,2.91%,7.33%,1.96%,7.56%,11.5%,4.18%,4.40%,3.97%,4.85%,7.70%
2026-08-30 13:00:00,8.54%,33.8%,0.715%,8.80%,77.3%,8.55%,3.77%,2.95%,2.33%,4.30%
2026-08-30 16:00:00,9.87%,,5.77%,7.77%,18.7%,22.2%,1.02%,32.9%,2.46%,6.01%
2026-08-30 19:00:00,3.91%,,4.12%,11.4%,4.15%,2.05%,1.40%,18.8%,4.39%,9.21%
2026-08-30 22:00:00,5.45%,19.4%,3.62%,8.06%,6.88%,2.41%,1.55%,13.7%,6.97%,7.28%
2026-08-31 01:00:00,5.68%,21.0%,3.77%,9.63%,4.02%,5.62%,6.37%,7.05%,9.00%,7.71%
2026-08-31 04:00:00,5.72%,,2.68%,11.0%,13.8%,5.59%,1.56%,7.31%,8.25%,12.2%
2026-08-31 07:00:00,4.10%,0%,0.972%,10.0%,17.1%,4.44%,5.74%,15.4%,15.4%,6.42%
2026-08-31 10:00:00,23.0%,0%,1.40%,9.35%,9.02%,3.85%,1.62%,2.52%,12.1%,5.34%
2026-08-31 13:00:00,8.41%,,5.12%,6.73%,24.6%,5.95%,8.07%,5.60%,11.6%,4.88%
2026-08-31 16:00:00,25.9%,,1.28%,11.4%,8.41%,8.05%,6.73%,3.49%,1.26%,5.95%
2026-08-31 19:00:00,4.36%,0%,1.59%,12.4%,4.86%,4.34%,4.11%,15.8%,6.79%,4.75%
2026-08-31 22:00:00,20.1%,,15.6%,14.2%,1.84%,10.6%,4.31%,17.6%,19.2%,13.5%
2026-09-01 01:00:00,13.7%,,,6.00%,,23.8%,32.6%,15.6%,13.5%,11.2%
2026-09-01 04:00:00,26.8%,,2.04%,11.1%,28.1%,2.01%,0%,5.23%,10.5%,6.05%
2026-09-01 07:00:00,11.2%,,3.55%,7.43%,39.6%,6.99%,15.0%,2.33%,7.54%,6.65%
2026-09-01 10:00:00,6.02%,,3.10%,19.2%,1.60%,6.06%,14.1%,17.9%,3.92%,6.90%
2026-09-01 13:00:00,5.04%,,13.2%,17.0%,,10.8%,9.43%,8.17%,1.05%,11.9%
2026-09-01 16:00:00,10.2%,,3.62%,22.5%,,3.27%,30.6%,3.10%,37.3%,7.62%
2026-09-01 19:00:00,2.97%,,16.2%,34.3%,,,0%,3.22%,,31.3%
2026-09-01 22:00:00,6.07%,,0%,37.1%,,,13.0%,6.05%,,43.8%
2026-09-02 01:00:00,11.0%,,6.39%,7.75%,,,4.62%,16.2%,20.4%,27.9%
2026-09-02 04:00:00,8.60%,,8.27%,9.25%,2.00%,,3.55%,14.7%,11.3%,7.75%
2026-09-02 07:00:00,11.6%,,1.07%,9.18%,,,2.34%,12.5%,1.73%,9.08%
2026-09-02 10:00:00,12.1%,,7.94%,8.48%,38.9%,13.7%,2.91%,3.50%,1.53%,6.02%
2026-09-02 13:00:00,18.0%,0%,3.37%,8.97%,29.0%,1.51%,5.56%,4.92%,2.00%,10.1%
2026-09-02 16:00:00,11.9%,0%,1.15%,10.5%,13.8%,14.8%,10.2%,6.55%,1.71%,6.45%
2026-09-02 19:00:00,6.35%,,0%,15.8%,8.21%,6.44%,,5.68%,1.48%,5.52%
2026-09-02 22:00:00,5.38%,1.87%,2.11%,8.26%,5.32%,7.95%,11.9%,5.17%,10.0%,6.65%
2026-09-03 01:00:00,6.30%,20.9%,4.36%,15.4%,8.19%,3.84%,5.70%,2.87%,12.2%,6.97%
2026-09-03 04:00:00,7.63%,8.57%,2.77%,23.5%,5.45%,3.85%,4.32%,6.39%,2.10%,9.17%
2026-09-03 07:00:00,19.2%,12.0%,0.820%,15.4%,9.10%,11.2%,2.13%,8.97%,7.93%,5.99%
2026-09-03 10:00:00,11.4%,19.9%,6.60%,14.1%,4.23%,10.2%,1.39%,7.80%,5.03%,8.22%
2026-09-03 13:00:00,21.0%,10.7%,9.77%,16.3%,10.1%,4.68%,14.7%,39.6%,3.55%,6.62%
2026-09-03 16:00:00,6.82%,3.03%,2.81%,14.6%,7.68%,10.8%,3.40%,,3.38%,14.1%
2026-09-03 19:00:00,8.31%,4.00%,1.09%,13.4%,1.96%,8.57%,3.59%,,2.02%,10.4%
2026-09-03 22:00:00,5.36%,3.38%,0%,7.53%,12.5%,3.11%,3.78%,8.91%,5.27%,7.17%
2026-09-04 01:00:00,10.4%,9.35%,4.05%,8.99%,9.33%,3.07%,1.34%,3.10%,2.26%,8.66%
2026-09-04 04:00:00,17.6%,2.74%,0.0913%,17.0%,11.0%,3.84%,2.89%,,5.98%,12.0%
2026-09-04 07:00:00,4.53%,23.1%,10.5%,10.8%,17.5%,5.16%,9.11%,,3.02%,9.10%
2026-09-04 10:00:00,6.26%,3.91%,3.58%,8.84%,11.6%,4.83%,8.21%,,2.31%,7.14%
2026-09-04 13:00:00,4.11%,3.95%,4.86%,7.07%,9.16%,2.88%,1.29%,,1.54%,9.08%
2026-09-04 16:00:00,3.76%,4.07%,1.13%,10.6%,3.67%,8.04%,4.71%,24.5%,2.29%,10.1%
2026-09-04 19:00:00,3.52%,12.1%,0.177%,56.0%,5.86%,6.33%,6.24%,26.1%,1.68%,7.87%
2026-09-04 22:00:00,5.67%,3.90%,5.92%,9.54%,3.27%,5.80%,6.05%,5.55%,3.29%,6.03%
2026-09-05 01:00:00,11.7%,2.54%,0.894%,10.5%,6.18%,2.79%,3.97%,4.29%,4.07%,12.8%
2026-09-05 04:00:00,5.46%,4.02%,1.67%,8.84%,2.98%,4.16%,5.40%,3.68%,7.15%,
2026-09-05 07:00:00,6.43%,1.65%,1.57%,10.00%,3.43%,3.21%,4.81%,3.12%,5.59%,
2026-09-05 10:00:00,12.7%,10.7%,1.54%,7.35%,19.6%,4.29%,4.00%,3.98%,30.7%,6.85%
2026-09-05 13:00:00,17.3%,4.18%,1.85%,7.05%,3.19%,2.96%,12.0%,9.84%,10.4%,
2026-09-05 16:00:00,11.5%,1.75%,3.15%,9.90%,15.8%,2.21%,6.19%,5.98%,27.9%,
2026-09-05 19:00:00,4.58%,3.62%,1.26%,7.53%,3.97%,16.0%,10.1%,7.25%,6.89%,
2026-09-05 22:00:00,10.8%,3.47%,13.6%,8.52%,4.20%,4.73%,16.1%,4.40%,12.1%,
2026-09-06 01:00:00,5.55%,4.05%,13.8%,7.61%,2.59%,2.86%,7.91%,5.26%,8.11%,6.49%
2026-09-06 04:00:00,6.92%,7.37%,13.5%,6.62%,3.70%,5.54%,11.1%,5.35%,10.9%,16.7%
2026-09-06 07:00:00,4.09%,2.57%,18.5%,8.25%,4.15%,2.71%,0.729%,4.17%,7.45%,8.65%
2026-09-06 10:00:00,4.02%,4.64%,19.4%,8.08%,5.28%,18.9%,3.92%,5.02%,10.3%,5.35%
2026-09-06 13:00:00,4.56%,3.04%,4.27%,11.7%,4.93%,11.7%,5.53%,6.18%,6.99%,12.1%
2026-09-06 16:00:00,5.94%,2.13%,7.82%,10.5%,18.1%,3.48%,4.82%,4.62%,21.8%,8.58%
2026-09-06 19:00:00,8.95%,3.34%,11.8%,18.8%,6.76%,11.4%,1.36%,3.26%,5.54%,5.42%
2026-09-06 22:00:00,4.16%,2.00%,12.4%,5.91%,6.55%,15.5%,4.20%,1.77%,9.58%,8.02%
2026-09-07 01:00:00,6.54%,3.27%,13.6%,13.0%,5.89%,9.37%,12.4%,2.87%,21.7%,7.60%
2026-09-07 04:00:00,4.89%,12.4%,30.9%,7.94%,4.96%,4.61%,8.01%,3.25%,4.83%,8.33%
2026-09-07 07:00:00,4.60%,9.88%,3.44%,11.6%,4.45%,14.0%,2.37%,4.68%,6.15%,3.49%
2026-09-07 10:00:00,9.24%,8.09%,4.77%,10.6%,11.5%,3.80%,4.33%,3.57%,10.4%,8.06%
2026-09-07 13:00:00,5.69%,2.62%,5.27%,10.0%,10.8%,1.07%,1.39%,4.23%,7.15%,9.51%
2026-09-07 16:00:00,6.98%,1.87%,1.70%,7.09%,10.4%,4.43%,1.01%,6.56%,1.22%,7.90%
2026-09-07 19:00:00,5.17%,5.77%,0.547%,9.59%,10.4%,2.34%,5.55%,9.78%,,5.45%
2026-09-07 22:00:00,13.6%,9.98%,6.74%,14.9%,5.15%,3.50%,7.24%,3.75%,8.81%,5.88%
2026-09-08 01:00:00,6.54%,6.04%,30.0%,8.85%,3.85%,3.73%,0.608%,11.0%,14.5%,9.15%
2026-09-08 04:00:00,5.84%,28.5%,,11.9%,5.37%,4.06%,2.87%,3.43%,5.36%,6.52%
2026-09-08 07:00:00,3.05%,3.48%,,7.80%,3.14%,6.95%,5.60%,3.23%,2.80%,6.70%
2026-09-08 10:00:00,7.34%,4.46%,,13.3%,4.60%,9.82%,1.85%,4.97%,17.4%,9.08%
2026-09-08 13:00:00,5.30%,7.88%,,9.53%,11.4%,6.73%,7.88%,3.64%,3.38%,8.54%
2026-09-08 16:00:00,6.70%,4.62%,,9.53%,13.9%,3.20%,3.36%,3.65%,2.53%,8.17%
2026-09-08 19:00:00,7.47%,2.97%,,16.7%,18.4%,22.6%,5.25%,5.56%,9.50%,5.72%
2026-09-08 22:00:00,12.4%,3.27%,,34.6%,7.83%,3.03%,10.0%,11.8%,20.5%,8.60%
2026-09-09 01:00:00,12.6%,4.03%,,23.1%,5.18%,7.01%,10.2%,5.44%,2.92%,7.12%
2026-09-09 04:00:00,6.72%,6.74%,0%,10.3%,15.5%,5.46%,2.83%,7.33%,1.99%,7.88%
2026-09-09 07:00:00,4.70%,0.465%,,8.98%,6.57%,6.29%,6.33%,4.40%,2.40%,10.6%
2026-09-09 10:00:00,8.15%,0.964%,13.2%,10.4%,15.8%,7.16%,4.95%,2.88%,2.14%,8.92%
2026-09-09 13:00:00,3.84%,19.4%,11.8%,9.32%,11.2%,10.5%,4.04%,3.62%,4.02%,6.78%
2026-09-09 16:00:00,13.5%,15.2%,13.8%,12.0%,5.73%,6.93%,2.21%,5.10%,2.60%,7.81%
2026-09-09 19:00:00,18.8%,9.97%,15.1%,11.6%,6.18%,9.73%,4.50%,3.51%,3.24%,5.83%
2026-09-09 22:00:00,26.1%,8.82%,13.8%,10.5%,4.60%,9.64%,4.25%,2.91%,3.07%,6.90%
2026-09-10 01:00:00,,1.95%,3.20%,33.3%,6.57%,7.72%,5.05%,4.15%,5.95%,14.1%
2026-09-10 04:00:00,,1.88%,4.27%,6.89%,3.64%,7.46%,7.45%,3.78%,9.83%,8.26%
2026-09-10 07:00:00,16.0%,2.40%,2.45%,9.71%,3.15%,7.57%,5.07%,4.08%,5.10%,6.20%
2026-09-10 10:00:00,,2.03%,3.09%,8.08%,3.89%,4.56%,8.53%,3.84%,4.08%,6.61%
2026-09-10 13:00:00,,13.5%,3.98%,7.20%,5.27%,6.53%,5.89%,6.01%,5.09%,4.45%
2026-09-10 16:00:00,,3.52%,0%,10.9%,14.4%,2.46%,5.35%,7.07%,3.41%,4.61%
2026-09-10 19:00:00,,7.94%,3.95%,16.8%,4.34%,6.38%,9.65%,4.21%,2.39%,7.42%
2026-09-10 22:00:00,,1.88%,0.190%,16.8%,7.41%,7.21%,3.14%,3.75%,2.70%,14.0%
2026-09-11 01:00:00,4.64%,3.93%,2.52%,10.5%,4.74%,7.66%,3.60%,5.70%,22.3%,11.2%
2026-09-11 04:00:00,38.4%,4.71%,3.26%,13.5%,5.45%,6.19%,3.36%,5.59%,16.5%,6.89%
2026-09-11 07:00:00,16.6%,8.00%,1.18%,13.3%,7.80%,14.0%,7.15%,2.04%,4.07%,6.98%
2026-09-11 10:00:00,22.8%,4.65%,5.89%,14.0%,2.80%,12.7%,5.43%,3.09%,4.46%,13.7%
2026-09-11 13:00:00,21.5%,1.72%,1.45%,12.0%,20.6%,6.32%,14.0%,4.48%,2.33%,4.90%
2026-09-11 16:00:00,21.5%,2.52%,1.02%,25.9%,9.83%,4.64%,3.69%,4.96%,3.39%,7.45%
2026-09-11 19:00:00,17.8%,3.49%,1.19%,16.1%,6.08%,16.7%,3.91%,7.75%,2.13%,23.1%
2026-09-11 22:00:00,11.3%,5.32%,0.380%,10.5%,4.28%,22.0%,2.06%,10.3%,2.91%,9.49%
2026-09-12 01:00:00,,7.14%,5.26%,11.0%,6.31%,7.24%,1.86%,5.94%,12.3%,14.3%
2026-09-12 04:00:00,,3.69%,1.63%,7.11%,10.3%,8.98%,1.86%,6.98%,18.1%,7.17%
2026-09-12 07:00:00,,3.05%,1.28%,11.3%,5.77%,3.60%,0.913%,5.12%,2.66%,5.52%
2026-09-12 10:00:00,7.92%,7.80%,1.79%,7.87%,6.42%,7.70%,11.1%,4.25%,2.20%,5.96%
2026-09-12 13:00:00,17.8%,7.70%,1.21%,15.1%,6.72%,6.63%,2.34%,9.36%,2.77%,6.17%
2026-09-12 16:00:00,8.51%,2.61%,2.82%,10.5%,,7.87%,3.53%,4.52%,2.24%,5.91%
2026-09-12 19:00:00,9.01%,14.1%,2.15%,12.8%,,6.09%,8.18%,3.72%,1.35%,6.33%
2026-09-12 22:00:00,16.2%,15.8%,4.45%,11.0%,,18.6%,3.56%,3.07%,3.93%,6.01%
2026-09-13 01:00:00,13.6%,14.1%,4.44%,15.7%,,2.62%,12.4%,6.17%,2.12%,7.72%
2026-09-13 04:00:00,13.2%,8.30%,8.33%,11.4%,,9.21%,5.32%,9.99%,2.62%,10.2%
2026-09-13 07:00:00,10.1%,9.92%,1.36%,19.1%,,5.49%,0.779%,7.78%,1.78%,37.5%
2026-09-13 10:00:00,11.1%,5.44%,2.06%,23.4%,,6.74%,8.76%,9.66%,1.89%,13.7%
2026-09-13 13:00:00,13.8%,9.03%,8.14%,11.2%,8.51%,11.0%,3.85%,7.83%,1.49%,5.72%
2026-09-13 16:00:00,11.1%,7.28%,2.70%,10.7%,9.77%,18.4%,5.85%,4.18%,8.25%,5.75%
2026-09-13 19:00:00,10.9%,11.7%,2.17%,10.4%,17.7%,6.68%,5.06%,5.45%,12.9%,5.58%
2026-09-13 22:00:00,23.0%,10.4%,1.40%,9.79%,11.6%,29.5%,2.58%,2.61%,17.8%,5.05%
2026-09-14 01:00:00,20.4%,2.96%,0.998%,8.28%,12.4%,12.3%,12.6%,4.71%,34.3%,8.95%
2026-09-14 04:00:00,12.3%,2.82%,1.87%,7.37%,7.87%,12.2%,5.99%,7.25%,0.0816%,26.2%
2026-09-14 07:00:00,26.3%,5.91%,0.900%,9.31%,11.8%,12.1%,6.39%,3.65%,,7.70%
2026-09-14 10:00:00,47.1%,6.48%,7.44%,11.5%,20.2%,14.0%,2.10%,3.56%,,6.05%

