"Time","P_FW - I38","P_FW - I39","P_FW - I40","P_FW - I41","P_FW - I42","P_FW - I43","P_FW - I44","P_FW - I47","P_FW - I48"
2026-07-05 13:00:00,0.200 Mpa,,0.219 Mpa,0.343 Mpa,0.313 Mpa,0.374 Mpa,0.470 Mpa,,
2026-07-05 16:00:00,0.242 Mpa,,0.234 Mpa,0.153 Mpa,0.231 Mpa,0.304 Mpa,0.252 Mpa,,
2026-07-05 19:00:00,0.106 Mpa,,0.132 Mpa,0.172 Mpa,0.142 Mpa,0.264 Mpa,0.269 Mpa,,
2026-07-05 22:00:00,0.183 Mpa,,0.135 Mpa,0.241 Mpa,0.0410 Mpa,0.417 Mpa,0.211 Mpa,,
2026-07-06 01:00:00,0.0626 Mpa,,0.133 Mpa,0.197 Mpa,0.0450 Mpa,0.325 Mpa,0.241 Mpa,,
2026-07-06 04:00:00,0.0835 Mpa,,0.152 Mpa,0.245 Mpa,0.104 Mpa,0.426 Mpa,0.204 Mpa,,
2026-07-06 07:00:00,0.0394 Mpa,,0.256 Mpa,0.257 Mpa,0.208 Mpa,0.316 Mpa,0.321 Mpa,,
2026-07-06 10:00:00,0.249 Mpa,,0.283 Mpa,0.256 Mpa,0.206 Mpa,0.291 Mpa,0.301 Mpa,0.221 Mpa,
2026-07-06 13:00:00,0.105 Mpa,,0.247 Mpa,0.322 Mpa,0.226 Mpa,0.533 Mpa,0.296 Mpa,0.168 Mpa,
2026-07-06 16:00:00,0.119 Mpa,,0.220 Mpa,0.197 Mpa,0.261 Mpa,0.326 Mpa,0.207 Mpa,0.276 Mpa,
2026-07-06 19:00:00,0.112 Mpa,,0.148 Mpa,0.239 Mpa,0.252 Mpa,0.275 Mpa,0.273 Mpa,,
2026-07-06 22:00:00,0.121 Mpa,,0.247 Mpa,0.251 Mpa,0.0687 Mpa,0.307 Mpa,0.299 Mpa,,
2026-07-07 01:00:00,0.0813 Mpa,,0.129 Mpa,0.322 Mpa,0.0202 Mpa,0.279 Mpa,0.207 Mpa,,
